,x,y,err
0,1.0,8.171831039125944,1.0064982843900614
1,1.0026141906873614,5.254469854923411,3.923859468592591
2,1.005228381374723,8.31424976032084,8.313331958128169
3,1.0078425720620843,34.10526840540252,20.465491319540345
4,1.0104567627494456,97.1944685270463,42.62370880210344
5,1.0130709534368072,267.6735206097031,127.85534328055348
6,1.0156851441241685,1019.1842034043157,486.81747038542375
7,1.01829933481153,1355.8196611388337,391.37710896591005
8,1.0209135254988913,566.0347606125016,225.10742990597166
9,1.0235277161862528,235.49606444217605,73.2851771085083
10,1.0261419068736142,133.04532025961345,29.1655670740543
11,1.0287560975609755,87.83885159883543,21.314321098637905
12,1.031370288248337,62.69224413456999,10.757912669125247
13,1.0339844789356984,47.55741158131744,7.013348143625432
14,1.0365986696230598,36.901388795816,3.642674641876006
15,1.0392128603104214,30.455737333149592,4.491343868094331
16,1.0418270509977827,24.29066354726868,2.991803314332497
17,1.044441241685144,20.937412766311944,2.5787941439270856
18,1.0470554323725056,18.44872459249906,1.8211428740500484
19,1.049669623059867,17.557427877692096,1.7331596287749313
20,1.0522838137472283,15.99919785412352,2.359420768261349
21,1.0548980044345897,13.408306348973609,1.6514581948896723
22,1.0575121951219513,12.144035131908826,1.4957419539533507
23,1.0601263858093126,10.70055608545387,1.056292068630066
24,1.062740576496674,9.691599046934064,0.9566941310214112
25,1.0653547671840355,8.58667119736944,1.057592819454364
26,1.067968957871397,8.171831039125944,1.0064982843900614
27,1.0705831485587582,7.566031861467518,0.7468714132655792
28,1.0731973392461198,7.200500937720482,0.7107884833216032
29,1.0758115299334812,6.852629582246719,0.6764487956683576
30,1.0784257206208425,6.521564624134175,0.6437681306017069
31,1.081039911308204,6.206494110953256,0.6126663372486849
32,1.0836541019955654,5.906645317405186,0.5830671369936931
33,1.0862682926829268,5.77804868408702,0.711663770311858
34,1.0888824833702881,5.4988989908765,0.677281795701862
35,1.0914966740576497,5.233235606882122,0.6445608866503458
36,1.094110864745011,4.980406980120501,0.6134207935840696
37,1.0967250554323724,4.739793036455911,0.5837851439555819
38,1.099339246119734,4.2928772400179795,0.5287399551566578
39,1.1019534368070953,4.085479305168146,0.5031954150636304
40,1.1045676274944567,3.8057479956269455,0.5612381909094852
41,1.1071818181818183,3.446903446207662,0.5083189576956135
42,1.1097960088691796,3.2803762858905303,0.4837609989707914
43,1.112410199556541,3.1218944031844655,0.46038948692005
44,1.1150243902439025,3.035360565933346,0.37385564966893003
45,1.117638580931264,2.971069113794872,0.4381471018074037
46,1.1202527716186252,2.888715908352464,0.3557938963649956
47,1.1228669623059866,2.7491559628279907,0.33860474437844457
48,1.1254811529933482,2.616338452009013,0.32224603650303574
49,1.1280953436807095,2.616338452009013,0.32224603650303574
50,1.1307095343680709,2.5453538512128584,0.25126143570688075
51,1.1333237250554324,2.489937634683846,0.3066776522358923
52,1.1359379157427938,2.489937634683846,0.3066776522358923
53,1.1385521064301551,2.5609222354800014,0.3776622530320477
54,1.1411662971175165,2.616338452009013,0.32224603650303574
55,1.143780487804878,2.5609222354800014,0.3776622530320477
56,1.1463946784922394,2.437198692212003,0.3594165947077361
57,1.149008869179601,2.3870076790526635,0.4096076078670752
58,1.1516230598669623,2.2073948619118813,0.3255271500755873
59,1.1542372505543237,1.9992592692443165,0.2948331462616606
60,1.156851441241685,1.8634877553042624,0.31977222714369147
61,1.1594656319290466,1.8107488128324185,0.26703328467184806
62,1.162079822616408,1.7232677265315073,0.2541323446540811
63,1.1646940133037693,1.7232677265315073,0.2541323446540811
64,1.1673082039911309,1.7232677265315073,0.2541323446540811
65,1.1699223946784922,1.6400130356346145,0.24185467620167933
66,1.1725365853658536,1.5607805540843152,0.23017016775349608
67,1.175150776053215,1.4853759604813752,0.21905016250128095
68,1.1777649667405765,1.4136143215023547,0.20846738810750498
69,1.1803791574279379,1.3453196383419044,0.1983958898186664
70,1.1829933481152994,1.317614488208965,0.22610103995160524
71,1.1856075388026608,1.317614488208965,0.22610103995160524
72,1.1882217294900221,1.2912478321910488,0.2524676959695221
73,1.1908359201773835,1.2661550048202765,0.27756052334029396
74,1.193450110864745,1.2288649316787041,0.24027045019872162
75,1.1960643015521064,1.1694958803898121,0.22866247904312303
76,1.1986784922394678,1.1129950729250222,0.21761531340579665
77,1.2012926829268293,1.0592239383882884,0.20710185959180594
78,1.2039068736141907,1.0080506005352083,0.1970963328596413
79,1.206521064301552,0.9789390080994023,0.16798474042383543
80,1.2091352549889134,0.9789390080994023,0.16798474042383543
81,1.211749445676275,0.9789390080994023,0.16798474042383543
82,1.2143636363636363,0.9512338579664636,0.1402795902908966
83,1.2169778270509979,0.9512338579664636,0.1402795902908966
84,1.2195920177383592,0.9512338579664636,0.1402795902908966
85,1.2222062084257206,0.9512338579664636,0.1402795902908966
86,1.224820399113082,0.9512338579664636,0.1402795902908966
87,1.2274345898004435,0.9316444042073726,0.15986904404998742
88,1.2300487804878049,0.8866347021721468,0.15214543404937958
89,1.2326629711751662,0.8615418748013748,0.12705260667860774
90,1.2352771618625278,0.8199189735092542,0.12091442783743472
91,1.2378913525498891,0.8030337830976166,0.13779961824907283
92,1.2405055432372505,0.7642375308599453,0.13114222865928027
93,1.2431197339246118,0.727315607223847,0.12480647157263558
94,1.2457339246119734,0.6921774594296076,0.11877680824595949
95,1.2483481152993348,0.6587369095119248,0.11303845064546036
96,1.2509623059866963,0.6587369095119248,0.11303845064546036
97,1.2535764966740577,0.6269119429443827,0.10757732517838436
98,1.256190687361419,0.6269119429443827,0.10757732517838436
